AccDate,UserAddr,Shares,CCY,Pool,NAV,Cost
2015-11-12,B5fSc35Cd7WrEEsktS85G8KNy1PwFjSiYP,2990.033,NBT,A,1.39503,1.0535
2015-11-12,B9mW7XJ7Jgp6JoCXZuzedxaMy9qmLpAjVF,758.251,NBT,A,1.39503,1.35839
2015-11-12,BETHkfzaUfnDkR7yPFq6CMNqPgDQWgqUwh,2000,NBT,A,1.39503,1.0
2015-11-12,BEnnCiy2XhLDb3bAoAaNGvxpWs6TKBYyPW,1000,NBT,A,1.39503,1.0
2015-11-12,BFf7oziJHHvEZSDPUqAgAQ33XY8wGxZ8NN,2625.844,NBT,A,1.39503,1.14249
2015-11-12,BHekXorA8ztcScm6HwG3jQ1oNNxR2ybiic,2271.884,NBT,A,1.39503,1.38651
2015-11-12,BLwA3JNGhFN1Juj5iNpg1pqmGisx8nooND,2778.726,NBT,A,1.39503,1.25957
2015-11-12,BRfZDLX26KQ4KFR5tNP2DUc1KpEmAhfcnR,1895.555,NBT,A,1.39503,1.0551
2015-11-12,BSTwEDGoGJ2PHZAfb4dCfTMJyWbuyRnroL,1875.137,NBT,A,1.39503,1.27724
2015-11-12,1HLT2tpFt2Da9vwsCN4kaS6fpwPtBZcLSj,3722.914,BTC,C,1.24342,1.22778
2015-11-12,1Lee5SBgi1tDaMPwYctYY5xqPnt1bWqGUH,988.92,BTC,C,1.24342,1.11912
2015-11-12,BCkanfxikvHymDKtEP9Yv5TjZHCu7Uf2Sp,3372.986,NBT,C,1.24342,1.13261
2015-11-12,BDNKbrE6HLekiW5Zs3jpCLSVs6XzHVcL1C,2054.637,NBT,C,1.24342,1.21676
2015-11-12,BFyopYtcDgLWHybX3uvRLDC8SUJsxwecX3,11107.688,NBT,C,1.24342,1.23338
2015-11-12,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,3393.193,NBT,C,1.24342,1.19681
2015-11-12,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,5380.749,NBT,C,1.24342,1.11509
2015-11-12,1FAaQ4255JrhaXqJmRZCyqsJ1DuXvv3GQD,824.661,BTC,D,1.49745,1.34203
2015-11-12,1HLT2tpFt2Da9vwsCN4kaS6fpwPtBZcLSj,1886.05,BTC,D,1.49745,1.74025
2015-11-12,B4kpJy3aawfaTEDJvhoCecxPxL3mpLSrxX,2218.722,NBT,D,1.49745,1.35213
2015-11-12,B8myMjiHtTbF3JqBqXBYXJ1FsRhem2RapT,1477.127,NBT,D,1.49745,1.35398
2015-11-12,BA1kJnsBdDcAo7MjZGC7oDjCpf7sWaiTXz,1444.255,NBT,D,1.49745,1.39269
2015-11-12,BC6uQNAfDyDP7EQuk2eXH5gAh9VBjGmNv1,2872.14,NBT,D,1.49745,1.39269
2015-11-12,BDJKdEJ3jMAdyiY9rbmLAdUMSwP8zEb6ZW,722.491,NBT,D,1.49745,1.3841
2015-11-12,BNTpTQA9H4VXFSox1WsaoPYuib6XxUGcYZ,1264.041,NBT,D,1.49745,1.18667
2015-11-12,BPWvpiT9RWoJiC7VYzeGpSEHppH6Dkf2mk,1723.284,NBT,D,1.49745,1.39269
2015-11-12,1DNcejgXjbHwUHsGuSg96nHQD28RzZ19f9,2657.434,BTC,C,1.24342,1.24342
