AccDate,UserAddr,Shares,CCY,Pool,NAV,Cost
2015-12-10,B5fSc35Cd7WrEEsktS85G8KNy1PwFjSiYP,2990.033,NBT,A,1.48581,1.0535
2015-12-10,BETHkfzaUfnDkR7yPFq6CMNqPgDQWgqUwh,2000,NBT,A,1.48581,1.0
2015-12-10,BEnnCiy2XhLDb3bAoAaNGvxpWs6TKBYyPW,1000,NBT,A,1.48581,1.0
2015-12-10,BFf7oziJHHvEZSDPUqAgAQ33XY8wGxZ8NN,2625.844,NBT,A,1.48581,1.14249
2015-12-10,BHekXorA8ztcScm6HwG3jQ1oNNxR2ybiic,3471.994,NBT,A,1.48581,1.41129
2015-12-10,BLwA3JNGhFN1Juj5iNpg1pqmGisx8nooND,2778.726,NBT,A,1.48581,1.25957
2015-12-10,BRfZDLX26KQ4KFR5tNP2DUc1KpEmAhfcnR,1895.555,NBT,A,1.48581,1.0551
2015-12-10,BSTwEDGoGJ2PHZAfb4dCfTMJyWbuyRnroL,1875.137,NBT,A,1.48581,1.27724
2015-12-10,1DNcejgXjbHwUHsGuSg96nHQD28RzZ19f9,4690.913,BTC,C,1.26083,1.24958
2015-12-10,1HLT2tpFt2Da9vwsCN4kaS6fpwPtBZcLSj,3722.914,BTC,C,1.26083,1.22778
2015-12-10,1Lee5SBgi1tDaMPwYctYY5xqPnt1bWqGUH,988.92,BTC,C,1.26083,1.11912
2015-12-10,BCkanfxikvHymDKtEP9Yv5TjZHCu7Uf2Sp,3372.986,NBT,C,1.26083,1.13261
2015-12-10,BDNKbrE6HLekiW5Zs3jpCLSVs6XzHVcL1C,2054.637,NBT,C,1.26083,1.21676
2015-12-10,BFyopYtcDgLWHybX3uvRLDC8SUJsxwecX3,11107.688,NBT,C,1.26083,1.23338
2015-12-10,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,3393.193,NBT,C,1.26083,1.19681
2015-12-10,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,0,NBT,C,1.26083,1.11509
2015-12-10,1FAaQ4255JrhaXqJmRZCyqsJ1DuXvv3GQD,824.661,BTC,D,1.76185,1.34203
2015-12-10,1HLT2tpFt2Da9vwsCN4kaS6fpwPtBZcLSj,1886.05,BTC,D,1.76185,1.74025
2015-12-10,B4kpJy3aawfaTEDJvhoCecxPxL3mpLSrxX,2218.722,NBT,D,1.76185,1.35213
2015-12-10,B8myMjiHtTbF3JqBqXBYXJ1FsRhem2RapT,1477.127,NBT,D,1.76185,1.35398
2015-12-10,B9dTUfkUFJtSq2fZyY5QaihUo9VPWEpgM7,667.094,NBT,D,1.76185,1.55903
2015-12-10,BC6uQNAfDyDP7EQuk2eXH5gAh9VBjGmNv1,0,NBT,D,1.76185,1.39269
2015-12-10,BDJKdEJ3jMAdyiY9rbmLAdUMSwP8zEb6ZW,722.491,NBT,D,1.76185,1.3841
2015-12-10,BNTpTQA9H4VXFSox1WsaoPYuib6XxUGcYZ,1264.041,NBT,D,1.76185,1.18667
2015-12-10,BPWvpiT9RWoJiC7VYzeGpSEHppH6Dkf2mk,1723.284,NBT,D,1.76185,1.39269
