TXDateTime,EffectDate,Type,Pool,CCY,Amount,UserAddr,PoolAddr,BlockHeight,TXHash,Status
2016-02-14T05:56:22Z,2016-02-15,WdOrder1,A,NBT,0.01,BSTwEDGoGJ2PHZAfb4dCfTMJyWbuyRnroL,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,744672,9861ce58ca6153d9a96941bb40d0cc2e708b24664cce022c9b8f19f115eb5ecd,Confirmed
2016-02-14T14:23:50Z,2016-02-15,WdOrder1,D,NBT,0.01,B8myMjiHtTbF3JqBqXBYXJ1FsRhem2RapT,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,745061,d5d8be0557f407a47cfadec3aacb5779bbd2595d5bf2f095971269f82c3f596d,Confirmed
2016-02-14T08:25:53Z,2016-02-15,WdOrder1,D,NBT,0.01,BPWvpiT9RWoJiC7VYzeGpSEHppH6Dkf2mk,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,744779,3d8fdc1c876163affc2d09f3fafb62b024ce180f2015b54ddca86d2d5f24aa7c,Confirmed
2016-02-13T10:40:06Z,2016-02-15,WdOrder1,D,NBT,0.01,BDJKdEJ3jMAdyiY9rbmLAdUMSwP8zEb6ZW,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,743841,89d7eb56692a608041a10451fc300bc61bba9963cbd2c0f3c3a80fd08160e350,Confirmed
2016-02-12T23:59:59Z,2016-02-15,Convert,D,NBT,0.1,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,743386,cd634206486da57b159060063f07d73dd5fb943950168dffbe18ff8b4b56e961,Confirmed
2016-02-13T00:33:53Z,2016-02-15,Convert,D,BTC,0.001,1DNcejgXjbHwUHsGuSg96nHQD28RzZ19f9,19eGo6grxSqXSQqugw3N7NxKopggWzEyec,398155,13d1e5b0fa1715654f22b4cfa8ce484e6a805fe97854f5235e92b7c4ba2dd1cf,Confirmed
,2016-02-15,Withdraw1,A,NBT,-2626.74,BSTwEDGoGJ2PHZAfb4dCfTMJyWbuyRnroL,,,,Pending
,2016-02-15,Withdraw1,D,NBT,-2178.46,B8myMjiHtTbF3JqBqXBYXJ1FsRhem2RapT,,,,Pending
,2016-02-15,Withdraw1,D,NBT,-2541.65,BPWvpiT9RWoJiC7VYzeGpSEHppH6Dkf2mk,,,,Pending
,2016-02-15,Withdraw1,D,NBT,-1065.01,BDJKdEJ3jMAdyiY9rbmLAdUMSwP8zEb6ZW,,,,Pending
